Wines,Price,Category,Grapes 1,Grapes 2,Grapes 3,Grapes 4,Region 1,Region 2,Region 3,Region 4,Alcohol,Food Pairing,Notes,Link
"Terenzi - Viognier Maremma ""Montedonico"" IGT 2016",80,"White, Dry, Still",100% Viognier,,,,"Northern Rhone, France",,,,13.50%,"An excellent accompaniment for fish, soft cheeses and delicately-flavoured fish-based pasta recipes","Category: White, Dry, StillGrapes: 100% ViognierAlcohol: 13.5%Deep straw yellowVery fresh, with broad hints of apricots, pears and flowersRich and full-bodied, with hints of citrus fruitsFood pairing:An excellent accompaniment for fish, soft cheeses and delicately-flavoured fish-based pasta recipes",https://www.winelistasia.com/store/p79/Terenzi_-_Viognier_Maremma_%22Montedonico%22_IGT_2016.html
"Ascheri - Arneis delle Langhe ""Cristina Ascheri"" DOC 2023",62,"White, Dry, Still",100% Arneis,,,,"Piedmond, Italy",,,,13.00%,"An ideal match for fish and appetizers, it can also be recommended to be served as either an apÃ©ritif or with full flavored fish and pork dishes","Category: White, Dry, StillGrapes: 100% ArneisAlcohol: 13%Pale straw colourIntense, engaging aromas of ripe peach, honeysuckle, and pear are rounded by hints of almondAn un-oaked, dry, medium bodied white wine with crisp acidity, elegant wine with good complexity and a lingering finishFood Pairing:An ideal match for fish and appetizers, it can also be recommended to be served as either an apÃ©ritif or with full flavored fish and pork dishesAwards:2012 - Tim Atkin: 89 points2013 - International Wine Challenge: Bronze",https://www.winelistasia.com/store/p94/Ascheri_-_Arneis_delle_Langhe_%22Cristina_Ascheri%22_DOC_2023.html
"Ascheri - Gavi di Gavi ""Cristina Ascheri"" DOCG 2024",65,"White, Dry, Still",100% Cortese,,,,"Piedmont (Gavi), Italy",,,,13.00%,"While it makes a great sipping wine, this wine pairs well with shellfish, veloutÃ© sauces, sardine appetizers, and lightly-grilled Dover sole","Category: White, Dry, StillGrapes: 100% CorteseAlcohol: 13%Light straw-yellowElegant bouquet with heather and some honeydew melon, nice acidity too and quite fresh, with some mint as well as it openLively minerality and pleasant underlying bitterness that flow into a clean savory finish that flows into bitternessFood pairing:While it makes a great sipping wine, this wine pairs well with shellfish, veloutÃ© sauces, sardine appetizers, and lightly-grilled Dover soleAwards:2012 - Tim Atkin: 89 points2013 - Decanter: Commend2013 - International Wine Challenge: Bronze",https://www.winelistasia.com/store/p95/Ascheri_-_Gavi_di_Gavi_%22Cristina_Ascheri%22_DOCG_2024.html
"Ascheri - Viognier ""Montalupa"" DOC 2020",122,"White, Dry, Still",100% Viognier,,,,"Northern Rhone, France",,,,13.50%,Ideally paired with whipped salt cod (baccalÃ ) or a mild white fish such as baked sea bass poached in rice wine and miso,"Category: White, Dry, StillGrapes: 100% ViognierAlcohol: 13.5%Intense straw yellow colour with green nuancesBouquet, of apricots, white peaches, sage, basil and lavenderIt features aromas and flavors of apricot and peach, with accents of orange blossom, jasmine, and aniseedFood pairing:Ideally paired with whipped salt cod (baccalÃ ) or a mild white fish such as baked sea bass poached in rice wine and misoAwards:2013 - Wine Advocate: 92+ points",https://www.winelistasia.com/store/p96/Ascheri_-_Viognier_%22Montalupa%22_DOC_2020.html
Cantine Volpi - Moscato Piemonte DOC 2024,37,"White, Sweet, Semi-Sparkling",100% Moscato,,,,"Piedmont (Asti), Italy",,,,5.50%,Try this with a variety of Italian pastries or a fruit dessert like citrus panna cotta with fresh berries,"Category: White, Sweet, Semi-SparklingGrapes: 100% MoscatoAlcohol: 5.5%Pale golden yellowIntensely aromatic notes of ripe citrus fruits, honey, and orange blossoms that are so classically identified with MoscatoOn the palate, the sweet melon, pear, and floral flavors are balanced by refreshing acidityFood Pairing:Try this with a variety of Italian pastries or a fruit dessert like citrus panna cotta with fresh berries",https://www.winelistasia.com/store/p101/Cantine_Volpi_-_Moscato_Piemonte_DOC_2024.html
"Cantine Volpi - Timorasso Colli Tortonesi ""La Zerba"" DOC 2023",66,"White, Dry, Still",100% Timorasso,,,,"Piedmont (Colli Tortonesi), Italy",,,,13.00%,"Quality pork cold cuts such as prosciutto ham and culatello, terrines and carpaccio. Serve with first course fish dishes, spaghetti carbonara, saffron risotto or with main dishes such as rich fish stews and English-style rare roast beef","Category: White, Dry, StillGrapes: 100% TimorassoAlcohol: 13%In the glass the wine was a fairly deep lemon gold colorModerately intense with ripe apple, pineapple and pear fruits with a pronounced leesy kind of aromaMedium with medium acidity, flavors of creamy white pear, ripe apple and pineapple fruit along with vanilla, piedough and mintFood Pairing:Quality pork cold cuts such as prosciutto ham and culatello, terrines and carpaccio. Serve with first course fish dishes, spaghetti carbonara, saffron risotto or with main dishes such as rich fish stews and English-style rare roast beef",https://www.winelistasia.com/store/p102/Cantine_Volpi_-_Timorasso_Colli_Tortonesi_%22La_Zerba%22_DOC_2023.html
"Lvnae Bosoni - Vermentino Colli di Luni ""Gray Label"" DOC 2023",68,"White, Dry, Still",100% Vermentino,,,,"Sardinia/Liguria/Tuscany, Italy",,,,12.50%,"Fresh and properly balanced on the palate, it rewards us with interesting developments of taste","Category: White, Dry, StillGrapes: 100% VermentinoAlcohol: 12.5%Straw-yellow colour with youthful greenish highlightsIntense, persistent and elegant with hints of hawthorn, grapefruit, rennet apple, white peach, undertones of acacia honeyFresh and properly balanced on the palate, it rewards us with interesting developments of tasteFood Pairing:Fresh and properly balanced on the palate, it rewards us with interesting developments of tasteAwards:2013 - Decanter: Bronze",https://www.winelistasia.com/store/p106/Lvnae_Bosoni_-_Vermentino_Colli_di_Luni_%22Gray_Label%22_DOC_2023.html
"Lvnae Bosoni - Vermentino Colli di Luni ""Black Label"" DOC 2023",87,"White, Dry, Still",100% Vermentino,,,,"Sardinia/Liguria/Tuscany, Italy",,,,13.00%,"The wineâs structure makes it particularly suitable for the most substantial dishes of Ligurian cuisine such as stockfish, stewed tripe, poultry, soups and fish. Serving temperature: 13/14Â° C","Category: White, Dry, StillGrapes: 100% VermentinoAlcohol: 13%The colour is an intense straw-yellow with light golden highlightsAn elegant aroma with clear hints of wildflowers, aromatic herbs, spices, ripe fruit, honeyPeach and freshly cut grass, then the taste transforms into green apple and grapefruit aromas balanced with acidy and saltinessFood Pairing:The wineâs structure makes it particularly suitable for the most substantial dishes of Ligurian cuisine such as stockfish, stewed tripe, poultry, soups and fish. Serving temperature: 13/14Â° CAwards:2013 - International Wine Challenge: Bronze2013 - Wine Spectator: 92 points2013 - International Wine Challenge: Bronze2014 - Gambero Rosso: 3 Glasses",https://www.winelistasia.com/store/p107/Lvnae_Bosoni_-_Vermentino_Colli_di_Luni_%22Black_Label%22_DOC_2023.html
"Lvnae Bosoni - Vermentino Colli di Luni ""Numero Chiuso"" DOC 2016",153,"White, Dry, Still",100% Vermentino,,,,"Sardinia/Liguria/Tuscany, Italy",,,,14.00%,"Light meats, chicken, grilled salmon, pesto pasta","Category: White, Dry, StillGrapes: 100% VermentinoAlcohol: 14%Total Bottles Produced: 2660Intense yellow with golden huesRich and intense, mediteranean and ripe fruitVelvet and well balanced, balsamic and mineral hints, long and soft finishingFood Pairing:Light meats, chicken, grilled salmon, pesto pasta",https://www.winelistasia.com/store/p108/Lvnae_Bosoni_-_Vermentino_Colli_di_Luni_%22Numero_Chiuso%22_DOC_2016.html
Peter Zemmer - Pinot Grigio DOC 2024,58,"White, Dry, Still",100% Pinot Grigio,,,,"Alsace/Burgundy, France",,,,13.50%,"Different starters, tureens and terrines, fish, shellfish and crustaceans, white meat and poultry","Category: White, Dry, StillGrapes: 100% Pinot GrigioAlcohol: 13.5%Radiant straw-yellow with a greenish toneElegant flowery aroma with typical tones of ripe fruit (pear, melon) and spicesFruity mineral flavor, full-bodied with fresh acidityFood Pairing:Different starters, tureens and terrines, fish, shellfish and crustaceans, white meat and poultryAwards:2012 - Vinum: 14.52014 - Wine & Spirit Magazine: 87 points2014 - Wine Enthusiast Magazine: 87 points2015 - Wine Spectator: 88 points",https://www.winelistasia.com/store/p116/Peter_Zemmer_-_Pinot_Grigio_DOC_2024.html
"Peter Zemmer - Muller Thurgau Alto Adige ""Caprile"" DOC 2023",59,"White, Dry, Still",100% M�ller Thurgau,,,,"Alto Adige, Italy",,,,12.50%,"This wine is wonderful on its own as an aperitif or paired with light salads and vegetable antipasti, light appetizers, fish dishes and asparagus","Category: White, Dry, StillGrapes: 100% MÃ¼ller ThurgauAlcohol: 12.5%Bright straw-yellow with greenish shimmerIntense bouquet of white peach, minerals, lemon and white flowers, with delicate spicy tones and impressions of nutmegThe taste is fresh, vibrant and aromatic, with dominant flavors of peach and lemon and a long pleasant mineral finishFood Pairing:This wine is wonderful on its own as an aperitif or paired with light salads and vegetable antipasti, light appetizers, fish dishes and asparagus",https://www.winelistasia.com/store/p117/Peter_Zemmer_-_Muller_Thurgau_Alto_Adige_%22Caprile%22_DOC_2023.html
"Peter Zemmer - Pinot Bianco Alto Adige ""Punggl"" DOC 2023",62,"White, Dry, Still",100% Pinot Bianco,,,,"Alto Adige, Italy",,,,13.50%,"This wine is wonderful on its own as an aperitif or paired with light salads and vegetable antipasti, light appetizers, fish dishes and asparagus","Category: White, Dry, StillGrapes: 100% Pinot BiancoAlcohol: 13.5%Radiant straw-yellow with a greenish toneThe wine offers aromas of white flowers, lemon-lime citrus, and hints of green apples and pearsIntense, very persistent, and pleasantly fruity with a distinct hint of melon. Its taste is dry, velvety and very persistentFood Pairing:This wine is wonderful on its own as an aperitif or paired with light salads and vegetable antipasti, light appetizers, fish dishes and asparagusAwards:2012 - Wine Enthusiast Magazine: 88 points2013 - Decanter: Bronze2014 - Wine Enthusiast Magazine: 88 points",https://www.winelistasia.com/store/p118/Peter_Zemmer_-_Pinot_Bianco_Alto_Adige_%22Punggl%22_DOC_2023.html
"Peter Zemmer - Riesling ""Rohacker"" DOC 2023",66,"White, Dry, Still",100% Rhine Riesling,,,,"Rhine Valley, Germany",,,,13.50%,"Fish dishes, vegetables, and the whole range of appetizers","Category: White, Dry, StillGrapes: 100% Rhine RieslingAlcohol: 13.5%Greenish-yellow to bright yellowSoftly flowery with scents of fresh peachesElegant, dry, tempting, with a delicate and enticing acidity and a lively fullnessFood Pairing:Fish dishes, vegetables, and the whole range of appetizersAwards:2011 - Wine Enthusiast Magazine: 86 points2012 - Wine Enthusiast Magazine: 87 points2012 - Wine & Spirit Magazine: 86 points2015 - Wine Spectator: 90 points",https://www.winelistasia.com/store/p121/Peter_Zemmer_-_Riesling_%22Rohacker%22_DOC_2023.html
Peter Zemmer - Gewurztramminer Alto Adige DOC 2024,68,"White, Dry, Still",100% Gewurztraminer,,,,"Tramin (Alto Adige), Italy",,,,13.50%,"Crab, lobster, other shellfish, pâtés, and as an aperitif","Category: White, Dry, StillGrapes: 100% GewurztraminerAlcohol: 13.5%Intensively radiant straw yellow to golden yellowSpicy tones, with hints of sweet muscat and the scent of dried flowers, cloves, and rose petalsOn the palate, juicy tropical flavors of lychee and starfruits complement a delicately floral finishFood Pairing:Crab, lobster, other shellfish, pÃ¢tÃ©s, and as an aperitif",https://www.winelistasia.com/store/p122/Peter_Zemmer_-_Gewurztramminer_Alto_Adige_DOC_2024.html
"Cantina di Trento - Nosiola Trentino ""1339"" DOC 2016",51,"White, Dry, Still",100% Nosiola,,,,"Trentino, Italy",,,,12.50%,"Appetizers and fresh water fish, Serving temperature 10-12Â° C","Category: White, Dry, StillGrapes: 100% NosiolaAlcohol: 12.5%Straw yellow in colourOn the nose the typical hazelnut noteCrispy and spicy with a light bitter note on the finishFood Pairing:Appetizers and fresh water fish, Serving temperature 10-12Â° C",https://www.winelistasia.com/store/p124/Cantina_di_Trento_-_Nosiola_Trentino_%221339%22_DOC_2016.html
"Antichi Poderi Jerzu - Vermentino di Sardegna ""Telave"" DOC 2023",45,"White, Dry, Still",100% Vermentino,,,,"Sardinia/Liguria/Tuscany, Italy",,,,13.00%,The wineâs lemony acidity will accent rock lobster or squid but carries enough weight to work with spaghetti topped with bottarga or a bowl of brothy clams and fregola,"Category: White, Dry, StillGrapes: 100% VermentinoAlcohol: 13%Straw yellow with green tingesCostamolino hints at aromas of pine and mint coupled with ripe stone fruit and sweet citrusApricot and apple flavors, this only hints at the lemony minerality and delicate flavorsFood Pairing:The wineâs lemony acidity will accent rock lobster or squid but carries enough weight to work with spaghetti topped with bottarga or a bowl of brothy clams and fregola",https://www.winelistasia.com/store/p216/Antichi_Poderi_Jerzu_-_Vermentino_di_Sardegna_%22Telave%22_DOC_2023.html
"Montalbano - Pinot Grigio ""Friuli Grave"" Organic DOC 2021",49,"White, Dry, Still",100% Pinot Grigio,,,,"Alsace/Burgundy, France",,,,12%,"Pair with poultry, fish, pasta in light sauces and soft cheeses","Category: White, Dry, StillGrapes: 100% Pinot GrigioAlcohol %: 12Pale straw in colourIntense, harmonious and complex with noticeable citrus, apricot, linden and white flowers scentsFull, intense and of great balance. In its complexity you can appreciate scents of cherry, apple and mangoFood Pairing:Pair with poultry, fish, pasta in light sauces and soft cheeses",https://www.winelistasia.com/store/p240/Montalbano_-_Pinot_Grigio_%22Friuli_Grave%22_Organic_DOC_2021.html
"Montalbano - Sauvignon ""Venezia Giulia"" Organic IGT 2018",48,"White, Dry, Still",100% Sauvignon Blanc,,,,"Loire Valley/Bordeaux, France",,,,12.50%,"Will pair well with vegetable soups, especially cream-based soups, souffles and dishes with eggs and asparagus. Also excellent with salami","Category: White, Dry, StillGrapes: 100% Sauvignon BlancAlcohol %: 12.5Straw-yellow colour with greenish reflectionsPeach flesh, tropical fruit, passion fruit, grapefruit and sweet osmanthus flowers can be perceivedAromatic wines with fresh flavors of peach blossom and citrus fruitsFood Pairing:Will pair well with vegetable soups, especially cream-based soups, souffles and dishes with eggs and asparagus. Also excellent with salami",https://www.winelistasia.com/store/p241/Montalbano_-_Sauvignon_%22Venezia_Giulia%22_Organic_IGT_2018.html
"Montalbano - Bianco V. Giulia ""Perennio"" Organic & Sulfates Free IGT 2015",49,"White, Dry, Still",60% Chardonnay,30 Sauvignon,10% Others,,"Burgundy, France",,,,12.50%,"Clams, shrimps, lobster and all fish recipes. Raw ham, smoked cold cuts and vegetarian food. Fantastic with white asparagus","Category: White, Dry, StillGrapes: 60% Chardonnay, 30 Sauvignon, 10% OthersAlcohol %: 12.5Straw yellow in colourFresh bouquet with hints of ripe white fruitsOn the palate the wine shows an interesting minerality with great balance between acidity and residual sugarFood Pairing:Clams, shrimps, lobster and all fish recipes. Raw ham, smoked cold cuts and vegetarian food. Fantastic with white asparagus",https://www.winelistasia.com/store/p242/Montalbano_-_Bianco_V._Giulia_%22Perennio%22_Organic_%26_Sulfates_Free_IGT_2015.html
"Montalbano - Grillo ""Terre Siciliane"" Organic IGT 2019",39,"White, Dry, Still",100% Grillo,,,,"Sicily, Italy",,,,12.50%,"Goes well with seafood, first course pasta dishes with vegetables, white meats and baked fish. The richness and the aromatic fragrance of the Grillo makes it the ideal wine to pair with a dish such as a veal carpaccio with celery and strawberries","Category: White, Dry, StillGrapes: 100% GrilloAlcohol %: 12.5Straw yellow with golden huesIntense and persistent bouquet with aromas of fruit, white citrus blossoms and almondDelivers fresh peach and citrus aromas backed by a touch of bitter almond. The texture is thick and creamyFood pairing:Goes well with seafood, first course pasta dishes with vegetables, white meats and baked fish. The richness and the aromatic fragrance of the Grillo makes it the ideal wine to pair with a dish such as a veal carpaccio with celery and strawberries",https://www.winelistasia.com/store/p244/Montalbano_-_Grillo_%22Terre_Siciliane%22_Organic_IGT_2019.html
"Eugenio Collavini - Ribolla Gialla ""Benedete"" IGT 2023",58,"White, Dry, Still",100% Ribolla Gialla,,,,"Friuli-Venezia Giulia, Italy",,,,12.50%,A classic aperitif that can also accompany fish-based starters or shellfish,"Category: White, Dry, StillGrapes: 100% Ribolla GiallaAlcohol %: 12.5Star-bright straw frames a freshFruit-driven nose lifted by citrus notes of lemon verbena and grapefruitThe clean, tangy palate tempts with nicely gauged butteriness and a long-lingering finishFood Pairing:A classic aperitif that can also accompany fish-based starters or shellfish",https://www.winelistasia.com/store/p264/Eugenio_Collavini_-_Ribolla_Gialla_%22Benedete%22_IGT_2023.html
"Eugenio Collavini - Ribolla Gialla ""Turian"" DOC 2020",95,"White, Dry, Still",100% Ribolla Gialla,,,,"Friuli-Venezia Giulia, Italy",,,,12.50%,"As an aperitif or with starters, soups and stewed fish, mollusks, especially warty venus shells","Category: White, Dry, StillGrapes: 100% Ribolla GiallaAlcohol %: 12.5Star-bright straw yellow with pale green highlightsSubtly elegant, fruit-led aromatics laced with floral essences of acacia blossom and lemon verbenaFresh lemon savouriness perks up the elegant palateFood Pairing:As an aperitif or with starters, soups and stewed fish, mollusks, especially warty venus shellsAwards:2016 - Luca Gardini: 86 points2014 - Wine Enthusiast: 89 points2014 - Gilbert & Galard: 86 points2013 - Wine Enthusiast: 88 points",https://www.winelistasia.com/store/p265/Eugenio_Collavini_-_Ribolla_Gialla_%22Turian%22_DOC_2020.html
Eugenio Collavini - Ribolla Gialla Brut Millesime' 2018,120,"White, Dry, Sparkling",100% Ribolla Gialla,,,,"Friuli-Venezia Giulia, Italy",,,,12.50%,"As an aperitif or with starters, soups and stewed fish, mollusks, especially warty venus shells","Category: White, Dry, SparklingGrapes: 100% Ribolla GiallaAlcohol %: 12.5Star-bright straw yellow with pale green highlightsSubtly elegant, fruit-led aromatics laced with floral essences of acacia blossom and lemon verbenaFresh lemon savouriness perks up the elegant palateFood Pairing:As an aperitif or with starters, soups and stewed fish, mollusks, especially warty venus shellsAwards:2016 - Luca Gardini: 86 points2014 - Wine Enthusiast: 89 points2014 - Gilbert & Galard: 86 points2013 - Wine Enthusiast: 88 points",https://www.winelistasia.com/store/p266/Eugenio_Collavini_-_Ribolla_Gialla_Brut_Millesime%27___2018.html
"Eugenio Collavini - Sauvignon Blanc ""Fumat"" DOC 2023",63,"White, Dry, Still",100% Sauvignon Blanc,,,,"Loire Valley/Bordeaux, France",,,,12.50%,"Fish-based starters, fish served in sauce and especially crustaceans, whether boiled or grilled. Risottos and herb soups","Category: White, Dry, StillGrapes: 100% Sauvignon BlancAlcohol %: 12.5Pale straw yellow with greenish highlightsVery varietal and minerally, but not cloying, with hints of yellow peppers, sage and melonThe palate is fresh-tasting, full-bodied, confidently aromatic and longFood Pairing:Fish-based starters, fish served in sauce and especially crustaceans, whether boiled or grilled. Risottos and herb soupsAwards:2015 - James Suckling: 92 points2014 - Gambero Rosso: 2 glasses2014 - James Suckling: 88 points2012- James Suckling: 90 points",https://www.winelistasia.com/store/p267/Eugenio_Collavini_-_Sauvignon_Blanc_%22Fumat%22_DOC_2023.html
"Eugenio Collavini - Spumante ""Il Grigio"" NV",54,"White, Dry, Sparkling",80% Chardonnay,20% Pinot Grigio,,,"Burgundy, France","Alsace/Burgundy, France",,,11.50%,A classic aperitif that can also partner fish or cold cuts and is outstanding with vegetable veloutÃ©s as well as oven-baked fish of all kinds,"Category: White, Dry, SparklingGrapes: 80% Chardonnay; 20% Pinot GrigioAlcohol %: 11.5Pale, star-bright straw shot through with greenish highlights. Persistent mousse with steady streams of tiny bubblesFresh, fragrant golden delicious apples, pears and warm crusty bread usher in a harmoniously roundedFaintly aromatic palate with a hint of citrus and very long lengthFood Pairing:A classic aperitif that can also partner fish or cold cuts and is outstanding with vegetable veloutÃ©s as well as oven-baked fish of all kindsAwards:2015 - James Suckling: 87 points",https://www.winelistasia.com/store/p269/Eugenio_Collavini_-_Spumante_%22Il_Grigio%22__NV.html
"Ca' Maiol - Lugana ""Prestige"" DOC 2021",66,"White, Dry, Still",100% Trebbiano di Lugana,,,,"Tuscany/Emilia-Romagna, Italy",,,,12.50%,"Appetizers, raw fish and seafood, which can also be as a condiment in a plate of pasta or risotto; slightly fatty boiled fish","Category: White, Dry, StillGrapes: 100% Trebbiano di LuganaAlcohol %: 12.5Straw yellow with golden reflectionsClean with a clear identity, this offers perfumes of green apple, lime, and wild thyme. On opening releases aromas of oats and white pepperPleasant and soft on the palate, in perfect equilibrium with all its components, with a mineral finishFood Pairing:Appetizers, raw fish and seafood, which can also be as a condiment in a plate of pasta or risotto; slightly fatty boiled fish",https://www.winelistasia.com/store/p273/Ca%27_Maiol_-_Lugana_%22Prestige%22_DOC_2021.html
